# created: Fri Mar  1 03:00:01 2024
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
4598|2|x-jat|_summer
4598|2|ru|_Лето
10004|2|en|-Dark night at NTR Village-, Kagachi-sama, please honor me with your presence
17715|4|ja|-禅- グローグーとマックロクロスケ
7307|2|he|!!קיי-און
4572|2|ar|!!هيماواري
11782|4|he|!אשמה
351|4|he|!דה! דה! דה
5909|4|he|!טוראדורה
2061|4|he|!יוגי-הו
17|2|he|!פול מטאל פאניק
6257|2|he|!קיי-און
4747|4|ar|!المدرس الخصوصي ريبورن
4121|4|fa|!به ان اچ کی خوش آمدید
9466|4|fa|!پادشاه دیوها، کارگر نیمه وقته
7672|2|ar|!كايتشو
8861|4|fa|!کامپیونه
9257|4|es-419|¡Atrévete a escalar!
1760|2|es|¡Azusa ayudará!
4121|2|es|¡Bienvenidos a NHK!
4594|2|es|¡Felicidad!
9858|4|es|¡Free! Club de Natación Iwatobi
16418|4|es|¡Hasta siempre, Don Glees!
4022|2|es|¡Perro Divino!
17878|4|es|¡Sobreviviré a base de pociones!
690|2|es-419|¡Voy a ser un angel!
12876|4|ja|?
12876|1|x-jat|?
10894|4|he|?האם זה בסדר להתחיל עם בנות בצינוק
13545|2|es|¿Cómo viven?
2764|4|es|¿El final de las Pretty Cure?
16285|4|es-419|¿Puedo hacer felices a tus oídos en 180 segundos?
1869|4|es|¿Quién es el 11º pasajero?
222|2|ja|.hack Liminality
4324|2|uk|.hack// Початок
447|4|pt-BR|.hack//A Lenda do Bracelete do Crepúsculo
8606|2|en|.hack//Beyond the World
447|2|pl|.hack//Bransoleta Zmierzchu
447|2|x-jat|.hack//DUSK
5391|1|x-jat|.hack//G.U. Returner
5391|4|ja|.hack//G.U. Returner
5459|1|x-jat|.hack//G.U. Trilogy
5459|4|en|.hack//G.U. Trilogy
5459|4|ja|.hack//G.U. Trilogy
5459|4|fr|.hack//G.U. Trilogy
5459|2|uk|.hack//G.U. Трилогія
1135|1|x-jat|.hack//Gift
1135|4|ja|.hack//GIFT
1135|4|en|.hack//gift
447|4|en|.hack//Legend of the Twilight
447|4|fr|.hack//Legend of the Twilight
447|4|de|.hack//Legend of the Twilight
447|2|en|.hack//Legend of the Twilight Bracelet
222|1|x-jat|.hack//Liminality
222|4|ja|.hack//Liminality
222|4|fr|.hack//Liminality
222|4|en|.hack//Liminality
7883|2|vi|.hack//Lượng tử
7883|4|de|.hack//Quantum
7883|1|x-jat|.hack//Quantum
7883|4|en|.hack//Quantum
7883|4|ja|.hack//Quantum
4324|4|ja|.hack//Roots
4324|4|en|.hack//Roots
4324|4|fr|.hack//Roots
4324|1|x-jat|.hack//Roots
8606|1|x-jat|.hack//Sekai no Mukou ni
24|4|en|.hack//SIGN
24|4|de|.hack//SIGN
24|4|fr|.hack//SIGN
24|4|pt|.hack//SIGN
24|4|pt-BR|.hack//SIGN
24|2|ro|.hack//SIGN
24|1|x-jat|.hack//Sign
24|4|ja|.hack//SIGN
447|1|x-jat|.hack//Tasogare no Udewa Densetsu
8606|2|en|.hack//The Movie
447|3|x-jat|.hack//Udeden
8606|2|en|.hack//Versus: The Thanatos Report
8606|4|zh-Hans|.hack//世界的彼方
222|4|zh-Hans|.hack//境界线
24|4|zh-Hans|.hack//时空
7883|4|zh-Hans|.hack//量子
447|4|ja|.hack//黄昏の腕輪伝説
222|2|ja|.hack∕∕Liminality
8606|4|uk|.злам// Поза «World`-ом»
447|2|ru|.хак//Легенда о сумеречном браслете
447|2|ru|.хак//Легенда Сумеречного Браслета
222|2|ru|.хак//Лиминалити
4847|4|he|.אוונגליון 1: (לא) לבד
6171|4|he|.אוונגליון 2: (אי) אפשר להתקדם
7565|4|he|.אוונגליון 3: (אי) אפשר לחזור
12112|4|he|.חייו הרי-האסון של סאיקי ק
4847|4|ar|.إيفانجيليون:1،11 أنت (لست) وحيداً
6171|4|ar|.إيفانجيليون:2،22 (لا) يمكنك التقدّم
7565|4|ar|.إيفانجيليون:3،33 أنت (لا) تستطيع الإعادة
10143|1|x-jat|"0"
2205|2|es|"009" contra los monstruos del mar
3689|1|x-jat|"Aesop" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu
17129|1|x-jat|"Anata o Hitokoto de Arawashite Kudasai" no Shitsumon ga Nigate da.
4317|1|x-jat|"Eiji"
12936|1|x-jat|"Eikou Naki Tensai-tachi" kara no Monogatari
12142|1|x-jat|"Eiyuu" Kaitai
18160|1|x-jat|"Fate/Grand Order" Memorial Movie 2023
15460|1|x-jat|"Hataraku Saibou!!" Saikyou no Teki, Futatabi. Karada no Naka wa "Chou" Oosawagi!
12142|2|en|"Heroes" Dismissed
16424|2|en|"Ippon" Again!
17449|1|x-jat|"Oshi no Ko"
18086|1|x-jat|"Oshi no Ko" (2024)
14586|2|en|"Parade" de Satie
15157|1|x-jat|"Uchuu Senkan Yamato" to Iu Jidai: Seireki 2202-nen no Sentaku
10143|2|en|"Zero"
8895|4|ar|"إيفانجيليون: 3،0+1،01 ثلاث مرات متتالية"
3689|4|ja|"いそっぷ"のおはなしより 牛とかえる, よくばった犬
7441|4|ja|"文学少女" メモワール
7294|4|ja|"文学少女"今日のおやつ ~はつ恋~
12936|4|ja|"栄光なき天才たち"からの物語
132|2|he|(1999) האנטר x האנטר
1751|4|he|(2) אגדות האחים גרים
7051|4|he|(2) אגדות ילדים
1010|4|he|(2) המומינים
1480|4|he|(2) מקרון 1
6367|2|he|(2009) המלנכוליה של הארוהי סוזומיה
6107|2|ar|(2009) الخيميائي المعدني الكامل
8550|2|he|(2011) האנטר x האנטר
14792|2|he|(2020) רי:זירו - התחלת החיים בעולם אחר
15593|2|he|(2021) רי:זירו - התחלת החיים בעולם אחר
3685|2|en|(Secret) Draw
1962|4|he|(שלושת המוסקטרים (1987
8924|4|ar|(دماغ الفيلسوف : لغز الإله (2012
9446|4|ar|(دماغ الفيلسوف : لغز الإله (2013
9977|4|fa|(سرنوشت شب اقامت (نبرد بی‌ پایان شمشیرها
8880|2|ur|(قسمت / صفر (2012
9304|2|ar|(مغامرات جوجو العجيبة (2012
1240|2|ar|(ملفات قضايا الشاب كيندايتشي (1997
11367|2|ar|(ملفات قضايا الشاب كيندايتشي تعود (2015
3685|4|ja|(秘)劇画 浮世絵千一夜
8149|2|ja|[C]
8149|2|en|[C] - Control - The Money and Soul of Possibility
8149|4|en|[C] The Money of Soul and Possibility Control
17449|4|vi|[Đứa Con Của Thần Tượng]
667|2|x-jat|[El]
667|2|ja|[él]
3531|2|ja|[etʃiːz]
9977|3|x-jat|[UBW] 2014
10760|3|x-jat|[UBW] 2015
17449|4|th|[เกิดใหม่เป็นลูกโอชิ]
12922|2|ko|[넥슨/클로저스] 애니메이션
17449|4|ko|[최애의 아이]
17449|4|zh-Hans|[我推的孩子]
17449|4|zh-Hant|[我推的孩子]
17449|4|ja|[推しの子]
18086|4|ja|[推しの子] 2
16168|2|x-jat|{takt: op. Destiny}
18424|4|ja|〈物語〉シリーズ オフ＆モンスターシーズン
10143|4|ja|「0」
17490|4|ja|「2.43　清陰高校男子バレー部」ミニアニメ　バレーボール講座編
8149|4|zh-Hans|「C」
9043|4|zh-Hans|「K」
13066|4|ja|「Magical Music Train 」
4317|4|ja|「エイジ」
15157|4|ja|「宇宙戦艦ヤマト」という時代 西暦2202年の選択
12142|4|ja|「英雄」解体
18160|4|ja|『Fate/Grand Order』 Memorial Movie 2023
17129|4|ja|『あなたを一言で表してください』の質問が苦手だ.
1028|4|ja|『サクラ大戦』~神崎すみれ引退記念~「す・み・れ」
